table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,
Geographic Area,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
.Tennessee,"6,494,340","6,541,223","6,591,170","6,646,010","6,708,799","6,771,631","6,829,174","6,925,619","6,968,351","7,051,339"
.Texas,"26,480,266","26,964,333","27,470,056","27,914,410","28,295,273","28,628,666","28,995,881","29,232,474","29,558,864","30,029,572"
.Utah,"2,897,640","2,936,879","2,981,835","3,041,868","3,101,042","3,153,550","3,205,958","3,283,785","3,339,113","3,380,800"
.Vermont,"626,210","625,214","625,216","623,657","624,344","624,358","623,989","642,893","646,972","647,064"
.Virginia,"8,252,427","8,310,993","8,361,808","8,410,106","8,463,587","8,501,286","8,535,519","8,636,471","8,657,365","8,683,619"
.Washington,"6,963,985","7,054,655","7,163,657","7,294,771","7,423,362","7,523,869","7,614,893","7,724,031","7,740,745","7,785,786"
.West Virginia,"1,853,914","1,849,489","1,842,050","1,831,023","1,817,004","1,804,291","1,792,147","1,791,420","1,785,526","1,775,156"
.Wisconsin,"5,736,754","5,751,525","5,760,940","5,772,628","5,790,186","5,807,406","5,822,434","5,896,271","5,880,101","5,892,539"
.Wyoming,"582,122","582,531","585,613","584,215","578,931","577,601","578,759","577,605","579,483","581,381"
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
